#,Name Level,BOLT ≥ s,Min/sem,Breathing Patterned Unlocked,Descripción ejercicio,Beneficio claro e íntimo
1,Botón de Alivio,0,10,Respiración Consciente 4-4,Inhala 4 s – exhala 4 s por la nariz. Primer ancla rápida ante la ansiedad.,Ayuda a que tu corazón lata más lento y te sientas más seguro.
2,Refugio de Calma,5,15,Respiración Consciente 5-5,Amplía tu “habitación segura” al alargar el ritmo a 5 s.,Relaja tu cuerpo y a que pienses con más claridad.
3,Brisa de Confianza,10,20,Respiración Coherente 4-6,4 s in / 6 s out. Sincroniza corazón-respiración y silencia la mente rumiativa.,Sincroniza tu corazón con tu respiración y a calmar tu mente.
4,Ola Serena,12,25,Respiración Coherente 3-7,Exhalación de 7 s para “pisar el freno” del sistema nervioso.,Libera el estrés para que te relajes y descanses mejor.
5,Caja de Control,15,30,Caja 4-4-4-4,Dibuja una caja con tu aire; control diafragmático total.,Ayuda a concentrarte mejor y a fortalecer tu diafragma.
6,Escudo Antipánico,17,35,Triángulo Invertido,"Inhala, pausa progresiva, exhala. Mantén la calma con pulmones medio llenos.",Te ayuda a mantener la calma cuando estás nervioso y a respirar con más control.
7,Umbral de Resiliencia,20,40,Pausa 10 s cada 5 respiraciones,Cada 5 ciclos 4-4 inserta pausa vacía de 10 s. Comodidad sin aire.,Te ayuda a tolerar la falta de aire sin asustarte y a sentirte más fuerte.
8,Corriente Valiente,25,50,Triángulo Normal,Triángulo Normal: inhala-exhala-pausa creciente con pulmones vacíos.,Aumenta tu capacidad pulmonar y a expulsar el aire que ya no necesitas.
9,Muralla Tranquila,30,70,Pausa 15 s cada 4 respiraciones,Pausa vacía de 15 s cada 4 respiraciones. Desafío intermedio de CO₂.,Te ayuda a calmar la sensación de falta de aire y a mantener tu mente tranquila durante un ataque de pánico o asma.
10,Zen Respiratorio,32,80,Caja 6-6-6-6,Caja 6-6-6-6: siente cómo el tiempo se expande al dominar tu aire.,Controla tu ritmo de respiración para que te sientas estable y confiado.
11,Chispa Controlada,35,90,Bhastrika Lite 2:3,Inspiraciones potentes / exhalaciones al doble. Energía sin disparar ansiedad.,"Aumenta tu energía de forma segura, sin disparar tu ansiedad."
12,Balance Supremo,40,100,Catana,Secuencia hipo/hiperventilación + retenciones (hormesis). Desafía tu homeostasis y vuelve más fuerte.,Fortalece tu cuerpo y a calmar tu mente al mismo tiempo.
